device_id,month,created_on,fifteen_min,five_min,full_spectrum,humidity,infrared_spectrum,one_min,overall_lux,pircount,temperature,temperature_raw,humidity_raw,temperature_refined,humidity_refined
EDCFFF303433463443206509,201607,2016-07-01 03:07:23,0.0,0.0,1242.0,62.90999984741211,309.0,0.0,27.0,0.0,33.15999984741211,33.15999984741211,62.90999984741211,29.15999984741211,78.90999984741211
EDCFFF303433463443206509,201607,2016-07-01 03:07:53,0.0,0.0,1244.0,62.79999923706055,311.0,0.0,27.0,0.0,33.18000030517578,33.18000030517578,62.79999923706055,29.18000030517578,78.79999923706055
EDCFFF303433463443206509,201607,2016-07-01 03:08:23,0.0,0.0,1259.0,62.77000045776367,315.0,0.0,27.0,0.0,33.220001220703125,33.220001220703125,62.77000045776367,29.220001220703125,78.77000045776367
EDCFFF303433463443206509,201607,2016-07-01 03:08:53,0.0,0.0,1250.0,62.77000045776367,313.0,0.0,27.0,0.0,33.240001678466804,33.240001678466804,62.77000045776367,29.240001678466804,78.77000045776367
EDCFFF303433463443206509,201607,2016-07-01 03:09:23,0.0,0.0,1247.0,62.459999084472656,312.0,1.0,27.0,1.0,33.259998321533196,33.259998321533196,62.459999084472656,29.259998321533196,78.45999908447266
EDCFFF303433463443206509,201607,2016-07-01 03:09:53,0.0,0.0,1245.0,62.54999923706055,312.0,1.0,27.0,0.0,33.279998779296875,33.279998779296875,62.54999923706055,29.279998779296875,78.54999923706055
EDCFFF303433463443206509,201607,2016-07-01 03:10:23,0.0,0.0,1216.0,61.13999938964844,303.0,0.0,26.0,0.0,33.25,33.25,61.13999938964844,29.25,77.13999938964844
EDCFFF303433463443206509,201607,2016-07-01 03:10:53,0.0,0.0,1230.0,60.47999954223633,309.0,0.0,26.0,1.0,33.110000610351555,33.110000610351555,60.47999954223633,29.110000610351555,76.47999954223633
EDCFFF303433463443206509,201607,2016-07-01 03:11:23,0.0,0.0,1226.0,60.0,308.0,1.0,26.0,0.0,33.009998321533196,33.009998321533196,60.0,29.009998321533196,76.0
EDCFFF303433463443206509,201607,2016-07-01 03:11:53,0.0,0.0,1218.0,59.27999877929688,305.0,1.0,26.0,0.0,32.889999389648445,32.889999389648445,59.27999877929688,28.889999389648445,75.27999877929688
EDCFFF303433463443206509,201607,2016-07-01 03:12:23,0.0,0.0,1224.0,58.86000061035156,306.0,0.0,26.0,0.0,32.830001831054695,32.830001831054695,58.86000061035156,28.830001831054695,74.86000061035156
EDCFFF303433463443206509,201607,2016-07-01 03:12:53,0.0,0.0,1227.0,58.43999862670898,308.0,0.0,26.0,0.0,32.75,32.75,58.43999862670898,28.75,74.43999862670898
EDCFFF303433463443206509,201607,2016-07-01 03:13:23,0.0,0.0,1236.0,57.959999084472656,311.0,0.0,26.0,0.0,32.65999984741211,32.65999984741211,57.959999084472656,28.65999984741211,73.95999908447266
EDCFFF303433463443206509,201607,2016-07-01 03:13:53,0.0,0.0,1236.0,57.599998474121094,312.0,0.0,26.0,0.0,32.52000045776367,32.52000045776367,57.599998474121094,28.520000457763672,73.5999984741211
EDCFFF303433463443206509,201607,2016-07-01 03:14:23,0.0,0.0,1268.0,57.11999893188477,322.0,0.0,27.0,0.0,32.439998626708984,32.439998626708984,57.11999893188477,28.439998626708984,73.11999893188477
EDCFFF303433463443206509,201607,2016-07-01 03:14:53,0.0,0.0,1195.0,57.18000030517578,289.0,0.0,26.0,0.0,32.36999893188477,32.36999893188477,57.18000030517578,28.369998931884773,73.18000030517578
EDCFFF303433463443206509,201607,2016-07-01 03:15:24,0.0,0.0,1207.0,56.58000183105469,293.0,0.0,26.0,0.0,32.330001831054695,32.330001831054695,56.58000183105469,28.330001831054695,72.58000183105469
EDCFFF303433463443206509,201607,2016-07-01 03:15:53,0.0,0.0,1224.0,56.54999923706055,299.0,0.0,27.0,1.0,32.31999969482422,32.31999969482422,56.54999923706055,28.31999969482422,72.54999923706055
EDCFFF303433463443206509,201607,2016-07-01 03:16:23,0.0,0.0,1230.0,56.040000915527344,303.0,2.0,27.0,1.0,32.220001220703125,32.220001220703125,56.040000915527344,28.220001220703125,72.04000091552734
EDCFFF303433463443206509,201607,2016-07-01 03:16:53,0.0,0.0,1251.0,55.95000076293945,309.0,2.0,27.0,0.0,32.169998168945305,32.169998168945305,55.95000076293945,28.169998168945305,71.95000076293945
EDCFFF303433463443206509,201607,2016-07-01 03:17:23,0.0,0.0,1271.0,56.81999969482422,318.0,0.0,27.0,0.0,32.09000015258789,32.09000015258789,56.81999969482422,28.09000015258789,72.81999969482422
EDCFFF303433463443206509,201607,2016-07-01 03:17:53,0.0,0.0,1236.0,57.68999862670898,302.0,0.0,27.0,0.0,32.060001373291016,32.060001373291016,57.68999862670898,28.060001373291016,73.68999862670898
EDCFFF303433463443206509,201607,2016-07-01 03:18:23,0.0,0.0,1223.0,58.43999862670898,296.0,0.0,27.0,0.0,32.049999237060554,32.049999237060554,58.43999862670898,28.049999237060554,74.43999862670898
EDCFFF303433463443206509,201607,2016-07-01 03:18:53,0.0,0.0,1223.0,59.06999969482422,296.0,0.0,27.0,0.0,32.09999847412109,32.09999847412109,59.06999969482422,28.099998474121087,75.06999969482422
EDCFFF303433463443206509,201607,2016-07-01 03:19:23,0.0,0.0,1243.0,59.54999923706055,303.0,0.0,27.0,0.0,32.15999984741211,32.15999984741211,59.54999923706055,28.15999984741211,75.54999923706055
EDCFFF303433463443206509,201607,2016-07-01 03:19:53,0.0,0.0,1225.0,60.11999893188477,301.0,0.0,27.0,0.0,32.169998168945305,32.169998168945305,60.11999893188477,28.169998168945305,76.11999893188477
